Model,AUC Mean,AUC Std,Acc Mean,Acc Std,F1 Mean,F1 Std
Logistic Regression,0.7767380952380953,0.01489620171039667,0.728,0.014352700094407337,0.6045687858433263,0.02148957012364419
XGBoost,0.771,0.027814232315028508,0.734,0.02267156809750929,0.5416796727013512,0.03261947634511154
Random Forest,0.7681904761904763,0.03738972068833796,0.7369999999999999,0.020149441679609904,0.4824311987894155,0.04692411786511624
Gradient Boosting,0.7666904761904763,0.02771948077638669,0.734,0.01685229954635273,0.5428164489211437,0.030106554014340155
Decision Tree,0.6595714285714285,0.03085236588538423,0.6660000000000001,0.014628738838327807,0.4932058650162098,0.052034149907397374
